ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-4,14;0,81;6;0;Sim/A/A02;-3,06;0,78;3;0;;
P000001;3,77;0,65;6;1;;;;;;;
P000002;1,6;0,34;5;0,6;;;;;;Sim/B/B02 ;1,5 (0,63 | 2 | 0) 
P000003;1,01;0,21;6;0,5;Sim/B/B03;0,9;0,3;3;0,33;Sim/A/A02 Sim/B/B03 ;0,95 (0,46 | 1 | 0) 0,9 (0,3 | 3 | 0,33) 
P000004;3,77;0,65;6;1;;;;;;;
P000005;-3,04;0,57;6;0,17;Sim/A/A02;-3,12;0,9;3;0;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-3,12 (0,9 | 3 | 0) -3,04 (137,96 | 1 | 0) -3,04 (1648,51 | 1 | 0) 
P000006;-1,37;0,24;6;0,5;Sim/A/A02;-1,49;0,3;3;0,67;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-1,49 (0,3 | 3 | 0,67) -1,37 (1,37 | 1 | 0) -1,37 (11,45 | 1 | 0) 
P000007;-4,14;0,81;6;0;Sim/A/A02;-3,06;0,78;3;0;;
P000008;-0,17;0,22;4;0,5;;;;;;Sim/A/A04 Sim/B/B01 ;-0,36 (0,64 | 1 | 0) -0,22 (0,45 | 1 | 0) 
P000009;-2,09;0,33;6;0,33;Sim/A/A02;-2,16;0,4;3;0,33;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,16 (0,4 | 3 | 0,33) -2,09 (9,77 | 1 | 0) -2,09 (96,87 | 1 | 0) 
P000010;-4,14;0,81;6;0;Sim/A/A02;-3,06;0,78;3;0;;
P000011;-4,14;0,81;6;0;Sim/A/A02;-3,06;0,78;3;0;;
P000012;-4,14;0,81;6;0;Sim/A/A02;-3,06;0,78;3;0;;
P000013;-4,14;0,81;6;0;Sim/A/A02;-3,06;0,78;3;0;;
P000014;-3,04;0,57;6;0,17;Sim/A/A02;-3,12;0,9;3;0;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-3,12 (0,9 | 3 | 0) -3,04 (137,96 | 1 | 0) -3,04 (1648,51 | 1 | 0) 
P000015;-1,54;0,22;6;0,33;Sim/A/A02;-1,77;0,28;3;0,33;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-1,77 (0,28 | 3 | 0,33) -1,55 (2,19 | 1 | 0) -1,54 (19,32 | 1 | 0) 
P000016;-4,14;0,81;6;0;Sim/A/A02;-3,06;0,78;3;0;;
P000017;-3,04;0,57;6;0,17;Sim/A/A02;-3,12;0,9;3;0;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-3,12 (0,9 | 3 | 0) -3,04 (137,96 | 1 | 0) -3,04 (1648,51 | 1 | 0) 
P000018;-0,47;0,18;5;0,4;;;;;;Sim/B/B01 Sim/B/B02 Sim/C/C01 ;-0,48 (0,84 | 1 | 0) -0,52 (0,38 | 1 | 0) -0,51 (0,42 | 1 | 0) 
P000019;1,6;0,34;5;0,6;;;;;;Sim/B/B02 ;1,5 (0,63 | 2 | 0) 
P000020;0,17;0,19;6;0,67;;;;;;Sim/B/B01 ;-0,08 (0,36 | 1 | 0) 
P000021;-4,14;0,81;6;0;Sim/A/A02;-3,06;0,78;3;0;;
P000022;-4,14;0,81;6;0;Sim/A/A02;-3,06;0,78;3;0;;
P000023;3,77;0,65;6;1;;;;;;;
P000024;1,6;0,34;5;0,6;;;;;;Sim/B/B02 ;1,5 (0,63 | 2 | 0) 
P000025;3,77;0,65;6;1;;;;;;;
P000026;-1,94;0,23;6;0,17;Sim/A/A02;-1,9;0,25;3;0,33;Sim/A/A04 Sim/A/A06 Sim/B/B01 ;-1,97 (0,62 | 1 | 0) -1,94 (6,51 | 1 | 0) -1,94 (62,71 | 1 | 0) 
P000027;1,6;0,34;5;0,6;;;;;;Sim/B/B02 ;1,5 (0,63 | 2 | 0) 
P000028;0,97;0,2;6;0,5;Sim/B/B03;1,07;0,23;4;0,5;Sim/B/B01 ;0,53 (0,54 | 2 | 0,5) 
P000029;2,36;0,35;6;0,67;;;;;;Sim/B/B04 ;2,28 (0,58 | 2 | 0) 
P000030;-3,04;0,57;6;0,17;Sim/A/A02;-3,12;0,9;3;0;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-3,12 (0,9 | 3 | 0) -3,04 (137,96 | 1 | 0) -3,04 (1648,51 | 1 | 0) 
P000031;-3,04;0,57;6;0,17;Sim/A/A02;-3,12;0,9;3;0;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-3,12 (0,9 | 3 | 0) -3,04 (137,96 | 1 | 0) -3,04 (1648,51 | 1 | 0) 
