ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,27;0,2;36;0,42;Sim/A/A01;-3,31;0,27;10;0,7;Sim/A/A05 Sim/A/A01 Sim/B/B01 Sim/A/A06 Sim/B/B02 ;-3,92 (1,05 | 7 | 0,14) -3,31 (0,27 | 10 | 0,7) -3,27 (2,64 | 5 | 0) -3,27 (1,77 | 5 | 0) -3,27 (6,02 | 1 | 0) 
P000001;4,63;0,12;73;0,89;Sim/C/C04;4,29;0,25;10;0,7;Sim/B/B03 Sim/C/C04 Sim/C/C08 ;2,26 (0,85 | 6 | 0,83) 4,29 (0,25 | 10 | 0,7) 4,44 (0,22 | 4 | 0,5) 
P000002;1,59;0,16;53;0,74;Sim/B/B02;1,32;0,43;10;0,5;Sim/B/B02 Sim/B/B01 Sim/C/C03 Sim/C/C04 Sim/C/C07 ;1,32 (0,43 | 10 | 0,5) 1,4 (0,3 | 10 | 0,7) 1,44 (0,35 | 10 | 0,9) 1,52 (1,75 | 2 | 0) 1,53 (2,01 | 1 | 0) 
P000003;0,98;0,11;50;0,76;Sim/B/B03;0,6;0,24;5;0,2;Sim/B/B02 Sim/B/B03 Sim/A/A02 ;0,51 (0,25 | 4 | 0,5) 0,6 (0,24 | 5 | 0,2) 0,83 (0,39 | 10 | 0,9) 
P000004;3,93;0,1;55;0,8;Sim/C/C05;3;0,23;5;0,2;Sim/B/B03 Sim/C/C05 Sim/C/C06 Sim/C/C10 ;2,55 (1,2 | 5 | 0,8) 3 (0,23 | 5 | 0,2) 3,61 (0,23 | 4 | 0,25) 3,8 (0,21 | 6 | 0,67) 
P000005;-2,6;0,16;36;0,14;Sim/A/A02;-3,24;0,48;10;0,1;Sim/A/A02 Sim/A/A06 Sim/A/A04 Sim/B/B02 ;-3,24 (0,48 | 10 | 0,1) -2,65 (1,21 | 5 | 0) -2,64 (3,8 | 1 | 0) -2,6 (3,5 | 5 | 0) 
P000006;-1;0,09;53;0,36;Sim/A/A02;-1,54;0,24;6;0,5;Sim/A/A07 Sim/A/A02 Sim/C/C01 Sim/B/B02 ;-1,66 (0,87 | 7 | 0,14) -1,54 (0,24 | 6 | 0,5) -1,17 (0,22 | 9 | 0,22) -1 (0,65 | 6 | 0) 
P000007;-4,11;0,14;28;0,21;;;;;;Sim/B/B01 Sim/A/A05 Sim/A/A06 Sim/B/B03 Sim/A/A04 ;-4,97 (5,48 | 5 | 0) -4,11 (1,38 | 5 | 0) -4,11 (2,78 | 5 | 0) -4,11 (8,21 | 1 | 0) -4,11 (248,94 | 1 | 0) 
P000008;0,24;0,1;67;0,7;Sim/B/B01;-0,04;0,24;5;0,6;Sim/A/A04 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A07 ;-0,13 (0,24 | 3 | 0,33) -0,04 (0,24 | 5 | 0,6) 0,08 (0,54 | 9 | 0,89) 0,24 (0,34 | 10 | 0,8) 0,24 (0,37 | 10 | 0,8) 
P000009;-1,46;0,12;56;0,21;Sim/A/A02;-2;0,23;5;0,4;Sim/A/A02 Sim/C/C01 Sim/B/B01 Sim/A/A07 ;-2 (0,23 | 5 | 0,4) -1,59 (0,37 | 10 | 0,1) -1,52 (0,36 | 8 | 0) -1,48 (0,57 | 8 | 0) 
P000010;-4,31;0,16;26;0,15;;;;;;Sim/A/A03 Sim/A/A05 Sim/A/A06 Sim/A/A04 ;-4,34 (0,24 | 3 | 0,33) -4,31 (1,66 | 5 | 0) -4,31 (2,99 | 5 | 0) -4,31 (443,42 | 1 | 0) 
P000011;-4,3;0,15;28;0,18;;;;;;Sim/B/B01 Sim/A/A03 Sim/A/A05 Sim/B/B02 Sim/B/B03 Sim/A/A04 ;-5,09 (5,69 | 5 | 0) -4,52 (0,25 | 4 | 0,25) -4,31 (1,64 | 5 | 0) -4,3 (9,1 | 1 | 0) -4,3 (8,43 | 1 | 0) -4,3 (432,9 | 1 | 0) 
P000012;-5,62;1,09;23;0;;;;;;Sim/B/B02 Sim/B/B03 Sim/B/B01 Sim/A/A06 Sim/A/A05 Sim/A/A01 ;-7,52 (13,59 | 1 | 0) -7,11 (12,88 | 1 | 0) -6,54 (8,38 | 5 | 0) -6,23 (5,45 | 5 | 0) -5,97 (4,72 | 5 | 0) -5,82 (1,6 | 5 | 0) 
P000013;-6,11;1,84;22;0,05;;;;;;Sim/A/A06 Sim/A/A01 Sim/A/A05 Sim/B/B01 Sim/A/A04 ;-7,14 (6,73 | 5 | 0) -6,4 (3,03 | 5 | 0) -6,37 (5,12 | 5 | 0) -6,22 (8,61 | 5 | 0) -6,11 (74278,05 | 1 | 0) 
P000014;-4;0,15;33;0,27;;;;;;Sim/A/A03 Sim/A/A06 Sim/A/A04 Sim/B/B02 ;-4,24 (0,21 | 4 | 0,5) -4,01 (2,65 | 5 | 0) -4,01 (189,65 | 1 | 0) -4 (8676,59 | 1 | 0) 
P000015;-1,41;0,12;57;0,23;Sim/A/A02;-1,99;0,23;6;0,33;Sim/A/A06 Sim/A/A02 Sim/C/C02 Sim/B/B02 Sim/B/B01 ;-2,75 (1,3 | 10 | 0,1) -1,99 (0,23 | 6 | 0,33) -1,76 (0,94 | 6 | 0,17) -1,54 (1,61 | 5 | 0) -1,48 (0,34 | 10 | 0,1) 
