ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,55;0,29;10;0,2;Sim/A/A01;-3,53;0,31;3;0,67
P000000;-3,55;0,29;10;0,2;Sim/A/A05;-3,56;1,06;3;0;Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-3,55 (27,59 | 2 | 0) -3,56 (1,06 | 3 | 0) -3,55 (564,21 | 1 | 0) -3,55 (7441,77 | 1 | 0) 
P000001;4,69;0,2;12;0,83;;;;;;Sim/C/C08 ;4,61 (0,32 | 2 | 0) 
P000002;1,61;0,29;6;0,67;Sim/B/B03;1,7;0,44;3;1;Sim/B/B01 Sim/B/B02 ;0,7 (0,97 | 2 | 0,5) 1,58 (0,73 | 1 | 0) 
P000003;0,88;0,22;5;0,6;Sim/B/B03;0,81;0,26;3;0,33;Sim/B/B03 ;0,81 (0,26 | 3 | 0,33) 
P000004;3,77;0,2;10;0,7;;;;;;Sim/C/C05 Sim/C/C06 ;3,71 (0,43 | 1 | 0) 3,71 (0,39 | 2 | 0) 
P000005;-2,42;0,2;9;0,33;Sim/A/A02;-2,52;0,39;3;0
P000005;-2,42;0,2;9;0,33;Sim/A/A05;-2,23;0,25;4;0,75;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,52 (0,39 | 3 | 0) -2,42 (24,4 | 1 | 0) -2,42 (258,15 | 1 | 0) 
P000006;-1,23;0,19;7;0,43;Sim/A/A04;-1,06;0,23;3;0,67;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-1,54 (0,32 | 2 | 0,5) -1,24 (0,96 | 1 | 0) -1,23 (7,62 | 1 | 0) 
P000007;-4,2;0,23;11;0,18;;;;;;Sim/A/A02 Sim/A/A03 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-4,2 (186,21 | 2 | 0) -4,25 (0,28 | 2 | 0,5) -4,2 (4,65 | 3 | 0) -4,2 (3464,78 | 1 | 0) -4,2 (51903,96 | 1 | 0) 
P000008;-0,17;0,22;4;0,5;;;;;;Sim/A/A04 Sim/B/B01 ;-0,36 (0,64 | 1 | 0) -0,22 (0,45 | 1 | 0) 
P000009;-1,69;0,2;8;0,38;Sim/A/A02;-1,92;0,25;3;0,33;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-1,92 (0,25 | 3 | 0,33) -1,69 (3,27 | 1 | 0) -1,72 (0,74 | 2 | 0) 
P000010;-4,2;0,23;11;0,18;;;;;;Sim/A/A02 Sim/A/A03 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-4,2 (186,21 | 2 | 0) -4,25 (0,28 | 2 | 0,5) -4,2 (4,65 | 3 | 0) -4,2 (3464,78 | 1 | 0) -4,2 (51903,96 | 1 | 0) 
P000011;-4,41;0,19;12;0,17;Sim/A/A01;-4,03;0,39;3;0,67;Sim/A/A02 Sim/A/A03 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-4,41 (340,53 | 2 | 0) -4,51 (0,31 | 2 | 0) -4,41 (7,52 | 3 | 0) -4,41 (6150,84 | 1 | 0) -4,41 (95927,53 | 1 | 0) 
P000012;-5,3;0,47;25;0,08;Sim/A/A01;-5,42;0,84;6;0
P000012;-5,3;0,47;25;0,08;Sim/A/A03;-5,05;0,47;12;0,17;Sim/A/A01 Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-5,42 (0,84 | 6 | 0) -5,3 (4607,89 | 2 | 0) -5,3 (59,15 | 3 | 0) -5,3 (73321,25 | 1 | 0) -5,3 (1360612,69 | 1 | 0) 
P000013;-6,65;1,24;25;0,08;Sim/A/A03;-6,01;1,17;9;0,22;Sim/A/A01 Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-6,98 (2,46 | 8 | 0) -6,65 (237441,55 | 2 | 0) -6,75 (5,53 | 4 | 0) -6,65 (3134097,19 | 1 | 0) -6,65 (75685650,88 | 1 | 0) 
P000014;-4,07;0,19;12;0,17;Sim/A/A03;-3,94;0,24;3;0,67;Sim/A/A01 Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-4,13 (0,38 | 2 | 0) -4,07 (126,05 | 2 | 0) -4,07 (3,41 | 3 | 0) -4,07 (2390,9 | 1 | 0) -4,07 (34896,81 | 1 | 0) 
P000015;-1,08;0,17;8;0,5;Sim/A/A04;-0,97;0,25;3;1;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-1,54 (0,32 | 2 | 0,5) -1,13 (0,36 | 2 | 0) -1,08 (4,9 | 1 | 0) 
P000016;-3,94;0,21;11;0,18;;;;;;Sim/A/A01 Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-4,04 (0,34 | 2 | 0) -3,94 (86,53 | 2 | 0) -3,94 (2,53 | 3 | 0) -3,94 (1672,15 | 1 | 0) -3,94 (23801,6 | 1 | 0) 
P000017;-3,25;0,32;10;0,2;Sim/A/A02;-3,29;0,77;3;0
P000017;-3,25;0,32;10;0,2;Sim/A/A05;-3,31;0,61;3;0;Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-3,29 (0,77 | 3 | 0) -3,31 (0,61 | 3 | 0) -3,25 (246,42 | 1 | 0) -3,25 (3066,76 | 1 | 0) 
P000018;-0,46;0,18;5;0,4;;;;;;Sim/B/B01 Sim/B/B02 Sim/C/C01 ;-0,47 (0,83 | 1 | 0) -0,52 (0,38 | 1 | 0) -0,5 (0,42 | 1 | 0) 
P000019;1,51;0,23;8;0,63;Sim/B/B03;1,36;0,27;3;0,67;Sim/B/B02 Sim/B/B03 ;1,47 (0,66 | 2 | 0) 1,36 (0,27 | 3 | 0,67) 
P000020;0,3;0,21;6;0,83;;;;;;Sim/B/B01 ;-0,06 (0,36 | 1 | 0) 
P000021;-5;0,32;18;0,11;Sim/A/A01;-5,1;0,52;4;0
P000021;-5;0,32;18;0,11;Sim/A/A03;-4,75;0,33;7;0,29;Sim/A/A01 Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-5,1 (0,52 | 4 | 0) -5 (1918,83 | 2 | 0) -5 (29,63 | 3 | 0) -5 (31854,12 | 1 | 0) -5 (557537,05 | 1 | 0) 
P000022;-4,46;0,18;13;0,15;Sim/A/A01;-4,53;0,25;3;0,33
P000022;-4,46;0,18;13;0,15;Sim/A/A03;-4,39;0,24;3;0,33;Sim/A/A01 Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-4,53 (0,25 | 3 | 0,33) -4,46 (398,14 | 2 | 0) -4,46 (8,52 | 3 | 0) -4,46 (7136,48 | 1 | 0) -4,46 (112465,88 | 1 | 0) 
P000023;5,35;0,34;15;0,93;Sim/C/C08;5,25;0,31;4;0,75
P000023;5,35;0,34;15;0,93;Sim/C/C09;5,44;0,79;3;1;Sim/C/C08 ;5,25 (0,31 | 4 | 0,75) 
P000024;1,1;0,17;9;0,44;Sim/B/B01;0,51;0,52;3;0,33
P000024;1,1;0,17;9;0,44;Sim/B/B03;1,4;0,25;4;0,75;Sim/A/A02 Sim/B/B01 ;1,04 (0,43 | 1 | 0) 0,51 (0,52 | 3 | 0,33) 
P000025;5,31;0,33;14;0,93;Sim/C/C08;5,41;0,46;3;1
P000025;5,31;0,33;14;0,93;Sim/C/C09;4,9;0,41;3;0,67;Sim/C/C09 ;4,9 (0,41 | 3 | 0,67) 
P000026;-1,88;0,2;7;0,29;Sim/A/A02;-1,9;0,25;3;0,33;Sim/A/A02 Sim/A/A04 Sim/A/A06 Sim/B/B01 ;-1,9 (0,25 | 3 | 0,33) -1,9 (0,53 | 1 | 0) -1,88 (5,45 | 1 | 0) -1,88 (51,84 | 1 | 0) 
P000027;1,8;0,29;7;0,71;Sim/B/B03;1,85;0,61;3;1;Sim/B/B02 ;1,68 (0,47 | 2 | 0) 
P000028;0,92;0,19;6;0,5;Sim/B/B03;1,01;0,22;4;0,5;Sim/B/B01 ;0,53 (0,54 | 2 | 0,5) 
P000029;2,37;0,3;7;0,71;Sim/B/B02;2,42;0,34;3;0,67;Sim/B/B04 ;2,34 (0,7 | 1 | 0) 
P000030;-2,88;0,25;8;0,13;Sim/A/A05;-2,88;0,25;4;0,25;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,88 (3,9 | 2 | 0) -2,88 (87,63 | 1 | 0) -2,88 (1014,31 | 1 | 0) 
P000031;-3,25;0,32;10;0,2;Sim/A/A02;-3,29;0,77;3;0
P000031;-3,25;0,32;10;0,2;Sim/A/A05;-3,31;0,61;3;0;Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-3,29 (0,77 | 3 | 0) -3,31 (0,61 | 3 | 0) -3,25 (246,42 | 1 | 0) -3,25 (3066,76 | 1 | 0) 
P000032;-0,42;0,19;7;0,71;Sim/A/A06;-0,65;0,22;3;0,67;Sim/A/A06 Sim/B/B01 ;-0,65 (0,22 | 3 | 0,67) -0,43 (0,75 | 1 | 0) 
P000033;-3,25;0,32;10;0,2;Sim/A/A02;-3,29;0,77;3;0
P000033;-3,25;0,32;10;0,2;Sim/A/A05;-3,31;0,61;3;0;Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-3,29 (0,77 | 3 | 0) -3,31 (0,61 | 3 | 0) -3,25 (246,42 | 1 | 0) -3,25 (3066,76 | 1 | 0) 
P000034;-0,18;0,17;6;0,67;;;;;;Sim/B/B01 Sim/C/C01 ;-0,21 (0,44 | 1 | 0) -0,38 (0,36 | 1 | 0) 
P000035;-5,72;0,72;25;0,08;Sim/A/A01;-6,01;1,35;10;0
P000035;-5,72;0,72;25;0,08;Sim/A/A03;-5,18;0,72;8;0,25;Sim/A/A01 Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-6,01 (1,35 | 10 | 0) -5,72 (15983,8 | 2 | 0) -5,72 (157,43 | 3 | 0) -5,72 (239604,64 | 1 | 0) -5,72 (4831393,78 | 1 | 0) 
P000036;2,37;0,3;7;0,71;Sim/B/B02;2,42;0,34;3;0,67;Sim/B/B04 ;2,34 (0,7 | 1 | 0) 
P000037;-3,25;0,32;10;0,2;Sim/A/A02;-3,29;0,77;3;0
P000037;-3,25;0,32;10;0,2;Sim/A/A05;-3,31;0,61;3;0;Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-3,29 (0,77 | 3 | 0) -3,31 (0,61 | 3 | 0) -3,25 (246,42 | 1 | 0) -3,25 (3066,76 | 1 | 0) 
P000038;0,86;0,19;6;0,67;;;;;;Sim/B/B01 Sim/B/B03 ;0,53 (0,54 | 2 | 0,5) 0,81 (0,27 | 2 | 0,5) 
P000039;-2,38;0,22;8;0,25;Sim/A/A02;-2,16;0,4;3;0,33
P000039;-2,38;0,22;8;0,25;Sim/A/A05;-2,48;0,28;3;0,33;Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-2,48 (0,28 | 3 | 0,33) -2,38 (21,93 | 1 | 0) -2,38 (230,34 | 1 | 0) 
P000040;4,25;0,23;10;0,8;;;;;;Sim/C/C09 ;4,17 (0,37 | 2 | 0) 
P000041;2,85;0,22;8;0,63;;;;;;Sim/C/C10 ;2,81 (0,45 | 2 | 0) 
P000042;-1,15;0,17;7;0,29;;;;;;Sim/A/A06 Sim/B/B01 Sim/C/C01 ;-1,19 (0,41 | 2 | 0) -1,15 (6,04 | 1 | 0) -1,19 (0,45 | 1 | 0) 
P000043;2,6;0,25;7;0,71;;;;;;Sim/B/B04 ;2,49 (0,37 | 2 | 0) 
P000044;2,37;0,3;7;0,71;Sim/B/B02;2,42;0,34;3;0,67;Sim/B/B04 ;2,34 (0,7 | 1 | 0) 
P000045;0,7;0,19;5;0,6;;;;;;Sim/B/B03 ;0,27 (0,55 | 2 | 0) 
P000046;-3,25;0,32;10;0,2;Sim/A/A02;-3,29;0,77;3;0
P000046;-3,25;0,32;10;0,2;Sim/A/A05;-3,31;0,61;3;0;Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-3,29 (0,77 | 3 | 0) -3,31 (0,61 | 3 | 0) -3,25 (246,42 | 1 | 0) -3,25 (3066,76 | 1 | 0) 
P000047;-1,43;0,22;6;0,33;;;;;;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-1,54 (0,32 | 2 | 0,5) -1,44 (1,62 | 1 | 0) -1,43 (13,83 | 1 | 0) 
P000048;-2,69;0,2;9;0,22;Sim/A/A02;-2,74;0,45;3;0
P000048;-2,69;0,2;9;0,22;Sim/A/A05;-2,61;0,22;4;0,5;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,74 (0,45 | 3 | 0) -2,69 (52,37 | 1 | 0) -2,69 (584,67 | 1 | 0) 
P000049;2;0,28;7;0,71;Sim/B/B02;1,87;0,35;3;0,33;Sim/B/B02 ;1,87 (0,35 | 3 | 0,33) 
P000050;1,38;0,22;7;0,57;Sim/B/B03;1,36;0,27;3;0,67;Sim/B/B01 Sim/B/B02 Sim/B/B03 ;0,7 (0,97 | 2 | 0,5) 1,37 (1,18 | 1 | 0) 1,36 (0,27 | 3 | 0,67) 
P000051;4,99;0,22;12;0,92;Sim/C/C08;4,96;0,22;3;0,67;Sim/C/C08 ;4,96 (0,22 | 3 | 0,67) 
P000052;3,5;0,17;10;0,7;;;;;;Sim/C/C06 Sim/C/C07 Sim/C/C10 ;3,46 (0,44 | 1 | 0) 3,47 (0,51 | 1 | 0) 3,43 (0,25 | 2 | 0,5) 
P000053;0,33;0,23;4;0,5;;;;;;Sim/B/B03 Sim/C/C03 ;0,3 (0,58 | 1 | 0) 0,27 (0,45 | 1 | 0) 
P000054;3,23;0,17;9;0,78;;;;;;Sim/C/C07 ;3,14 (0,35 | 1 | 0) 
P000055;2,18;0,28;8;0,63;Sim/B/B02;2,13;0,31;3;0,33;Sim/B/B02 Sim/B/B04 ;2,13 (0,31 | 3 | 0,33) 2,17 (1,1 | 1 | 0) 
P000056;1,1;0,17;9;0,44;Sim/B/B01;0,51;0,52;3;0,33
P000056;1,1;0,17;9;0,44;Sim/B/B03;1,4;0,25;4;0,75;Sim/A/A02 Sim/B/B01 ;1,04 (0,43 | 1 | 0) 0,51 (0,52 | 3 | 0,33) 
P000057;0,7;0,19;5;0,6;;;;;;Sim/B/B03 ;0,27 (0,55 | 2 | 0) 
P000058;1,8;0,29;7;0,71;Sim/B/B03;1,85;0,61;3;1;Sim/B/B02 ;1,68 (0,47 | 2 | 0) 
P000059;0,88;0,22;5;0,6;Sim/B/B03;0,81;0,26;3;0,33;Sim/B/B03 ;0,81 (0,26 | 3 | 0,33) 
P000060;-1,67;0,22;6;0,33;Sim/A/A02;-1,51;0,29;3;0,67;Sim/A/A04 Sim/A/A06 Sim/B/B01 ;-1,74 (0,4 | 1 | 0) -1,67 (3,07 | 1 | 0) -1,67 (27,96 | 1 | 0) 
P000061;0,58;0,18;5;0,6;;;;;;Sim/B/B03 ;0,47 (0,41 | 1 | 0) 
P000062;-1,15;0,17;7;0,29;;;;;;Sim/A/A06 Sim/B/B01 Sim/C/C01 ;-1,19 (0,41 | 2 | 0) -1,15 (6,04 | 1 | 0) -1,19 (0,45 | 1 | 0) 
P000063;2,18;0,28;8;0,63;Sim/B/B02;2,13;0,31;3;0,33;Sim/B/B02 Sim/B/B04 ;2,13 (0,31 | 3 | 0,33) 2,17 (1,1 | 1 | 0) 
P000064;-2,17;0,2;8;0,25;Sim/A/A02;-2,29;0,31;4;0,25;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,29 (0,31 | 4 | 0,25) -2,17 (12,46 | 1 | 0) -2,17 (125,78 | 1 | 0) 
P000065;3,5;0,17;10;0,7;;;;;;Sim/C/C06 Sim/C/C07 Sim/C/C10 ;3,46 (0,44 | 1 | 0) 3,47 (0,51 | 1 | 0) 3,43 (0,25 | 2 | 0,5) 
P000066;2;0,28;7;0,71;Sim/B/B02;1,87;0,35;3;0,33;Sim/B/B02 ;1,87 (0,35 | 3 | 0,33) 
P000067;6,69;1,09;25;1;Sim/C/C08;6,06;0,97;8;1
P000067;6,69;1,09;25;1;Sim/C/C09;6;1,06;6;1;;
