ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,29;0,19;38;0,39;;;;;;Sim/A/A06 Sim/B/B01 Sim/A/A02 Sim/A/A01 Sim/A/A05 ;-3,29 (1,8 | 5 | 0) -3,29 (2,88 | 5 | 0) -3,3 (0,61 | 5 | 0) -3,31 (0,27 | 10 | 0,7) -3,92 (1,05 | 6 | 0,17) 
P000001;4,55;0,11;51;0,8;Sim/C/C09;4,68;0,2;5;0,6;Sim/C/C08 Sim/C/C04 Sim/B/B03 ;4,43 (0,22 | 5 | 0,4) 4,29 (0,25 | 10 | 0,7) 2,26 (0,85 | 6 | 0,83) 
P000002;1,56;0,16;49;0,69;Sim/B/B03;1,82;0,36;10;0,8;Sim/C/C07 Sim/C/C04 Sim/C/C03 Sim/B/B01 Sim/B/B02 ;1,56 (1,95 | 1 | 0) 1,55 (1,71 | 2 | 0) 1,44 (0,35 | 10 | 0,9) 1,4 (0,3 | 10 | 0,7) 1,32 (0,43 | 10 | 0,5) 
P000003;0,98;0,11;51;0,75;Sim/B/B01;1,89;0,46;10;0,8;Sim/A/A02 Sim/B/B03 Sim/B/B02 ;0,83 (0,39 | 10 | 0,9) 0,6 (0,24 | 5 | 0,2) 0,51 (0,25 | 5 | 0,4) 
P000004;4,28;0,1;71;0,72;Sim/C/C08;5,52;0,49;10;0,9;Sim/C/C09 Sim/C/C10 Sim/C/C06 Sim/C/C05 Sim/B/B03 ;3,93 (0,26 | 10 | 0,2) 3,8 (0,21 | 6 | 0,67) 3,6 (0,23 | 4 | 0,25) 3 (0,23 | 5 | 0,2) 2,15 (0,93 | 5 | 0,8) 
P000005;-2,6;0,16;35;0,14;Sim/B/B01;-1,79;0,46;10;0,1;Sim/B/B02 Sim/A/A06 Sim/A/A02 ;-2,6 (3,5 | 5 | 0) -2,65 (1,21 | 5 | 0) -3,24 (0,48 | 10 | 0,1) 
P000006;-1;0,09;59;0,34;Sim/A/A04;-0,71;0,24;6;0,67;Sim/B/B02 Sim/C/C03 Sim/C/C01 Sim/A/A02 Sim/A/A07 ;-1,01 (0,65 | 6 | 0) -1,03 (0,53 | 6 | 0,17) -1,17 (0,22 | 9 | 0,22) -1,54 (0,24 | 6 | 0,5) -1,66 (0,87 | 7 | 0,14) 
P000007;-4,1;0,14;28;0,21;Sim/A/A01;-4,08;0,22;6;0,5;Sim/A/A05 Sim/B/B03 Sim/A/A02 Sim/A/A03 Sim/A/A06 Sim/B/B01 ;-4,1 (3,93 | 1 | 0) -4,1 (8,21 | 1 | 0) -4,1 (2,37 | 5 | 0) -4,1 (0,19 | 5 | 0,6) -4,11 (2,77 | 5 | 0) -5 (5,84 | 5 | 0) 
P000008;0,29;0,1;70;0,69;Sim/C/C01;0,61;0,46;10;0,9;Sim/C/C02 Sim/A/A07 Sim/A/A02 Sim/A/A06 Sim/B/B01 Sim/A/A04 ;0,28 (0,28 | 10 | 0,5) 0,24 (0,37 | 10 | 0,8) 0,24 (0,34 | 10 | 0,8) 0,08 (0,54 | 9 | 0,89) -0,04 (0,24 | 5 | 0,6) -0,13 (0,24 | 3 | 0,33) 
P000009;-1,47;0,12;59;0,36;Sim/A/A04;-0,97;0,19;5;0,6;Sim/C/C01 Sim/B/B01 Sim/A/A05 Sim/A/A02 ;-1,59 (0,37 | 10 | 0,1) -1,79 (0,46 | 10 | 0) -1,81 (0,28 | 10 | 0,8) -1,98 (0,22 | 6 | 0,5) 
P000010;-4,31;0,16;25;0,12;Sim/A/A01;-4,27;0,23;5;0,4;Sim/A/A05 Sim/B/B03 Sim/A/A02 Sim/A/A06 Sim/A/A03 Sim/B/B01 ;-4,31 (6,33 | 1 | 0) -4,31 (8,44 | 1 | 0) -4,31 (3,04 | 5 | 0) -4,32 (2,99 | 5 | 0) -4,34 (0,24 | 3 | 0,33) -5,23 (6,24 | 5 | 0) 
P000011;-4,3;0,15;27;0,19;Sim/A/A01;-4,08;0,22;6;0,5;Sim/A/A05 Sim/B/B03 Sim/A/A02 Sim/A/A03 Sim/B/B01 ;-4,3 (6,11 | 1 | 0) -4,3 (8,42 | 1 | 0) -4,3 (2,98 | 5 | 0) -4,52 (0,25 | 4 | 0,25) -5,21 (6,21 | 5 | 0) 
P000012;-5,49;0,94;22;0;;;;;;Sim/A/A02 Sim/A/A01 Sim/A/A06 Sim/B/B01 Sim/B/B03 ;-5,64 (8,39 | 5 | 0) -5,82 (1,6 | 5 | 0) -5,95 (5,09 | 5 | 0) -6,53 (8,61 | 5 | 0) -6,81 (12,27 | 1 | 0) 
