person;step;question;difficulty;discrimination;fraction;Sim;Sim/A;Sim/A/A01;Sim/A/A02;Sim/A/A03;Sim/A/A04;Sim/A/A05;Sim/A/A06;Sim/A/A07;Sim/B;Sim/B/B01;Sim/B/B02;Sim/B/B03;Sim/B/B04;Sim/C;Sim/C/C01;Sim/C/C02;Sim/C/C03;Sim/C/C04;Sim/C/C05;Sim/C/C06;Sim/C/C07;Sim/C/C08;Sim/C/C09;Sim/C/C10

Time:;2024-08-09 09-06-18;Mode:;allScales;Model:;2PL;Dataset:;V1
Parameter;pp_start:;0,02;se_start:;2,97;se_min:;0,35;se_max:;1,5;N_total:;250;N_max:;6;N_min:;3;pp_incmin:;0,1

P000000
P000000;1;B01-18;"0,05";"5,95";"0";"-0,67 (SE 1,47 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"-0,67 (SE 1,47 bei 1 Fragen mit R/W-Rate 0)";"-0,67 (SE 1,47 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;2;A06-15;"-0,65";"5,56";"0";"-1,3 (SE 1,11 bei 2 Fragen mit R/W-Rate 0)";"-1,3 (SE 1,11 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"-1,3 (SE 1,11 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;3;A02-02;"-1,28";"5,61";"0";"-1,86 (SE 0,93 bei 3 Fragen mit R/W-Rate 0)";"-1,86 (SE 0,93 bei 2 Fragen mit R/W-Rate 0)";"";"-1,86 (SE 0,93 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;4;A02-19;"-1,80";"5,87";"0";"-2,33 (SE 0,82 bei 4 Fragen mit R/W-Rate 0)";"-2,33 (SE 0,82 bei 3 Fragen mit R/W-Rate 0)";"";"-2,33 (SE 0,82 bei 2 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;5;A02-17;"-2,54";"4,98";"0";"-3,06 (SE 0,78 bei 5 Fragen mit R/W-Rate 0)";"-3,06 (SE 0,78 bei 4 Fragen mit R/W-Rate 0)";"";"-3,06 (SE 0,78 bei 3 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;6;A01-12;"-3,62";"3,70";"0";"-4,14 (SE 0,81 bei 6 Fragen mit R/W-Rate 0)";"-4,14 (SE 0,81 bei 5 Fragen mit R/W-Rate 0)";"-4,14 (SE 0,81 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;drop;Sim;N_scale:;6; >=6
P000000;inhere;Sim/C;pp:;-4,1409524430204;from:;Sim:;-4,1409524430204
P000000;end;keine Skala übrig
P000000;RESULT;;;;pp;-4,14;-4,14;-4,14;-3,06;"";"";"";-1,3;"";-0,67;-0,67;"";"";"";"";"";"";"";"";"";"";"";"";"";""
;;;;;se;0,81;0,81;0,81;0,78;"";"";"";1,11;"";1,47;1,47;"";"";"";"";"";"";"";"";"";"";"";"";"";""
;;;;;frac;0;0;0;0;"";"";"";0;"";0;0;"";"";"";"";"";"";"";"";"";"";"";"";"";""
;;;;;N;6;5;1;3;"";"";"";1;"";1;1;"";"";"";"";"";"";"";"";"";"";"";"";"";""

P000001
P000001;1;B01-18;"0,05";"5,95";"1";"0,76 (SE 1,42 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"0,76 (SE 1,42 bei 1 Fragen mit R/W-Rate 1)";"0,76 (SE 1,42 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000001;2;B03-10;"0,68";"5,75";"1";"1,32 (SE 1,1 bei 2 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"1,32 (SE 1,1 bei 2 Fragen mit R/W-Rate 1)";"";"";"1,31 (SE 1,1 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";""
P000001;3;B03-06;"1,34";"5,94";"1";"1,9 (SE 0,91 bei 3 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"1,9 (SE 0,91 bei 3 Fragen mit R/W-Rate 1)";"";"";"1,9 (SE 0,91 bei 2 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";""
P000001;4;B02-12;"2,06";"5,24";"1";"2,6 (SE 0,83 bei 4 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"2,6 (SE 0,83 bei 4 Fragen mit R/W-Rate 1)";"";"2,6 (SE 0,83 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";""
P000001;5;B04-03;"2,80";"5,89";"1";"3,26 (SE 0,7 bei 5 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"3,26 (SE 0,7 bei 5 Fragen mit R/W-Rate 1)";"";"";"";"3,26 (SE 0,7 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";""
P000001;6;C10-00;"3,33";"5,95";"1";"3,77 (SE 0,65 bei 6 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"3,76 (SE 0,65 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"3,76 (SE 0,65 bei 1 Fragen mit R/W-Rate 1)"
P000001;drop;Sim;N_scale:;6; >=6
P000001;inhere;Sim/A;pp:;3,7697845728167;from:;Sim:;3,7697845728167
P000001;end;keine Skala übrig
P000001;RESULT;;;;pp;3,77;"";"";"";"";"";"";"";"";3,26;0,76;2,6;1,9;3,26;3,76;"";"";"";"";"";"";"";"";"";3,76
;;;;;se;0,65;"";"";"";"";"";"";"";"";0,7;1,42;0,83;0,91;0,7;0,65;"";"";"";"";"";"";"";"";"";0,65
;;;;;frac;1;"";"";"";"";"";"";"";"";1;1;1;1;1;1;"";"";"";"";"";"";"";"";"";1
;;;;;N;6;"";"";"";"";"";"";"";"";5;1;1;2;1;1;"";"";"";"";"";"";"";"";"";1

P000002
P000002;1;B01-18;"0,05";"5,95";"1";"0,76 (SE 1,42 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"0,76 (SE 1,42 bei 1 Fragen mit R/W-Rate 1)";"0,76 (SE 1,42 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000002;2;B03-10;"0,68";"5,75";"1";"1,32 (SE 1,1 bei 2 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"1,32 (SE 1,1 bei 2 Fragen mit R/W-Rate 1)";"";"";"1,31 (SE 1,1 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";""
P000002;3;B03-06;"1,34";"5,94";"1";"1,9 (SE 0,91 bei 3 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"1,9 (SE 0,91 bei 3 Fragen mit R/W-Rate 1)";"";"";"1,9 (SE 0,91 bei 2 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";""
