person;step;question;difficulty;discrimination;fraction;Sim;Sim/A;Sim/A/A01;Sim/A/A02;Sim/A/A03;Sim/A/A04;Sim/A/A05;Sim/A/A06;Sim/A/A07;Sim/B;Sim/B/B01;Sim/B/B02;Sim/B/B03;Sim/B/B04;Sim/C;Sim/C/C01;Sim/C/C02;Sim/C/C03;Sim/C/C04;Sim/C/C05;Sim/C/C06;Sim/C/C07;Sim/C/C08;Sim/C/C09;Sim/C/C10

Time:;2024-10-28 19-06-17;Mode:;defCAT;Model:;2PL;Dataset:;V1
Parameter;pp_start:;0,02;se_start:;2,97;se_min:;0,25;se_max:;0,5;N_total:;250;N_max:;10;N_min:;5;pp_incmin:;0,1

P000000
P000000;1;B01-18;"0,05";"5,95";"0";"-0,67 (SE 1,47 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"-0,67 (SE 1,47 bei 1 Fragen mit R/W-Rate 0)";"-0,67 (SE 1,47 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;enact;Sim/B;TP+TI:;19,24131066956; >=4
P000000;enact;Sim/B/B01;TP+TI:;14,962830553207; >=4
P000000;2;A06-15;"-0,65";"5,56";"0";"-1,3 (SE 1,11 bei 2 Fragen mit R/W-Rate 0)";"-1,3 (SE 1,11 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"-1,3 (SE 1,11 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;enact;Sim/A;TP+TI:;45,77988269938; >=4
P000000;enact;Sim/A/A06;TP+TI:;25,271182814417; >=4
P000000;3;A02-02;"-1,28";"5,61";"0";"-1,86 (SE 0,93 bei 3 Fragen mit R/W-Rate 0)";"-1,86 (SE 0,93 bei 2 Fragen mit R/W-Rate 0)";"";"-1,86 (SE 0,93 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;enact;Sim/A/A02;TP+TI:;24,396912097774; >=4
P000000;4;A02-19;"-1,80";"5,87";"0";"-2,33 (SE 0,82 bei 4 Fragen mit R/W-Rate 0)";"-2,33 (SE 0,82 bei 3 Fragen mit R/W-Rate 0)";"";"-2,33 (SE 0,82 bei 2 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;5;A02-17;"-2,54";"4,98";"0";"-3,06 (SE 0,78 bei 5 Fragen mit R/W-Rate 0)";"-3,06 (SE 0,78 bei 4 Fragen mit R/W-Rate 0)";"";"-3,06 (SE 0,78 bei 3 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;6;A05-07;"-2,84";"4,57";"0";"-3,4 (SE 0,77 bei 6 Fragen mit R/W-Rate 0)";"-3,4 (SE 0,77 bei 5 Fragen mit R/W-Rate 0)";"";"";"";"";"-3,36 (SE 0,79 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;enact;Sim/A/A05;TP+TI:;7,3003017495203; >=4
P000000;7;A01-16;"-3,67";"4,44";"1";"-4,16 (SE 0,73 bei 7 Fragen mit R/W-Rate 0,14)";"-3,28 (SE 0,43 bei 6 Fragen mit R/W-Rate 0,17)";"-3,19 (SE 0,73 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;enact;Sim/A/A01;TP+TI:;12,157165836795; >=4
P000000;8;A01-19;"-2,95";"2,99";"0";"-3,4 (SE 0,39 bei 8 Fragen mit R/W-Rate 0,13)";"-3,4 (SE 0,39 bei 7 Fragen mit R/W-Rate 0,14)";"-3,31 (SE 0,47 bei 2 Fragen mit R/W-Rate 0,5)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;9;A01-12;"-3,62";"3,70";"0";"-3,66 (SE 0,32 bei 9 Fragen mit R/W-Rate 0,11)";"-3,66 (SE 0,32 bei 8 Fragen mit R/W-Rate 0,13)";"-3,65 (SE 0,33 bei 3 Fragen mit R/W-Rate 0,33)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;10;A01-13;"-3,91";"5,14";"1";"-3,58 (SE 0,27 bei 10 Fragen mit R/W-Rate 0,2)";"-3,58 (SE 0,27 bei 9 Fragen mit R/W-Rate 0,22)";"-3,56 (SE 0,28 bei 4 Fragen mit R/W-Rate 0,5)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;drop;Sim;N_scale:;10; >=10
P000000;inhere;Sim/C;pp:;-3,8516350059971;from:;Sim:;-3,5785658064302
P000000;11;A01-18;"-3,81";"3,67";"1";"-3,51 (SE 0,26 bei 11 Fragen mit R/W-Rate 0,27)";"-3,51 (SE 0,26 bei 10 Fragen mit R/W-Rate 0,3)";"-3,49 (SE 0,27 bei 5 Fragen mit R/W-Rate 0,6)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;drop;Sim/A;N_scale:;10; >=10
P000000;inhere;Sim/A/A03;pp:;-3,7659761345755;from:;Sim/A:;-3,5083633830523
P000000;inhere;Sim/A/A04;pp:;-3,7659761345755;from:;Sim/A:;-3,5083633830523
P000000;inhere;Sim/A/A07;pp:;-3,7659761345755;from:;Sim/A:;-3,5083633830523
P000000;enact;Sim/A/A03;TP+TI:;25,467887625665; >=4
P000000;12;A01-14;"-3,71";"3,42";"1";"-3,44 (SE 0,25 bei 12 Fragen mit R/W-Rate 0,33)";"-3,44 (SE 0,25 bei 11 Fragen mit R/W-Rate 0,36)";"-3,42 (SE 0,26 bei 6 Fragen mit R/W-Rate 0,67)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;13;A05-00;"-2,80";"3,46";"0";"-3,46 (SE 0,24 bei 13 Fragen mit R/W-Rate 0,31)";"-3,46 (SE 0,24 bei 12 Fragen mit R/W-Rate 0,33)";"";"";"";"";"-3,49 (SE 0,73 bei 2 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;14;A01-08;"-3,38";"1,52";"1";"-3,42 (SE 0,24 bei 14 Fragen mit R/W-Rate 0,36)";"-3,42 (SE 0,24 bei 13 Fragen mit R/W-Rate 0,38)";"-3,36 (SE 0,27 bei 7 Fragen mit R/W-Rate 0,71)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;15;A03-04;"-4,07";"5,67";"1";"-3,41 (SE 0,23 bei 15 Fragen mit R/W-Rate 0,4)";"-3,41 (SE 0,23 bei 14 Fragen mit R/W-Rate 0,43)";"";"";"-3,4 (SE 1,2 bei 1 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;16;A03-03;"-3,69";"3,13";"1";"-3,36 (SE 0,23 bei 16 Fragen mit R/W-Rate 0,44)";"-3,36 (SE 0,23 bei 15 Fragen mit R/W-Rate 0,47)";"";"";"-3,32 (SE 0,67 bei 2 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;17;A03-16;"-3,61";"2,64";"1";"-3,32 (SE 0,22 bei 17 Fragen mit R/W-Rate 0,47)";"-3,32 (SE 0,22 bei 16 Fragen mit R/W-Rate 0,5)";"";"";"-3,25 (SE 0,55 bei 3 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;18;A01-07;"-3,18";"1,01";"0";"-3,34 (SE 0,22 bei 18 Fragen mit R/W-Rate 0,44)";"-3,34 (SE 0,22 bei 17 Fragen mit R/W-Rate 0,47)";"-3,4 (SE 0,26 bei 8 Fragen mit R/W-Rate 0,63)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;19;A05-15;"-2,85";"1,91";"0";"-3,37 (SE 0,21 bei 19 Fragen mit R/W-Rate 0,42)";"-3,37 (SE 0,21 bei 18 Fragen mit R/W-Rate 0,44)";"";"";"";"";"-3,42 (SE 0,57 bei 3 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;20;A03-13;"-3,89";"3,68";"1";"-3,34 (SE 0,21 bei 20 Fragen mit R/W-Rate 0,45)";"-3,34 (SE 0,21 bei 19 Fragen mit R/W-Rate 0,47)";"";"";"-3,27 (SE 0,47 bei 4 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;21;A02-04;"-2,79";"4,16";"0";"-3,36 (SE 0,2 bei 21 Fragen mit R/W-Rate 0,43)";"-3,36 (SE 0,2 bei 20 Fragen mit R/W-Rate 0,45)";"";"-3,38 (SE 0,78 bei 4 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;22;A03-19;"-3,55";"1,21";"1";"-3,34 (SE 0,2 bei 22 Fragen mit R/W-Rate 0,45)";"-3,34 (SE 0,2 bei 21 Fragen mit R/W-Rate 0,48)";"";"";"-2,96 (SE 0,63 bei 5 Fragen mit R/W-Rate 1)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;deact;Sim/A/A03;TP+TI:;3,9661804190665; <4
P000000;23;A05-02;"-2,64";"4,98";"0";"-3,34 (SE 0,2 bei 23 Fragen mit R/W-Rate 0,43)";"-3,34 (SE 0,2 bei 22 Fragen mit R/W-Rate 0,45)";"";"";"";"";"-3,4 (SE 0,51 bei 4 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;24;A02-09;"-2,49";"4,64";"0";"-3,35 (SE 0,2 bei 24 Fragen mit R/W-Rate 0,42)";"-3,35 (SE 0,2 bei 23 Fragen mit R/W-Rate 0,43)";"";"-3,37 (SE 0,7 bei 5 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;deact;Sim/A/A02;TP+TI:;2,7343131061541; <4
P000000;25;A05-03;"-2,65";"5,76";"0";"-3,35 (SE 0,19 bei 25 Fragen mit R/W-Rate 0,4)";"-3,35 (SE 0,19 bei 24 Fragen mit R/W-Rate 0,42)";"";"";"";"";"-3,4 (SE 0,49 bei 5 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;26;A01-17;"-3,67";"2,70";"1";"-3,32 (SE 0,19 bei 26 Fragen mit R/W-Rate 0,42)";"-3,32 (SE 0,19 bei 25 Fragen mit R/W-Rate 0,44)";"-3,34 (SE 0,26 bei 9 Fragen mit R/W-Rate 0,67)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;27;A05-18;"-3,16";"0,56";"1";"-3,31 (SE 0,19 bei 27 Fragen mit R/W-Rate 0,44)";"-3,31 (SE 0,19 bei 26 Fragen mit R/W-Rate 0,46)";"";"";"";"";"-3,92 (SE 1,05 bei 6 Fragen mit R/W-Rate 0,17)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;deact;Sim/A/A05;TP+TI:;1,6197465668439; <4
P000000;28;A06-19;"-1,05";"1,10";"0";"-3,32 (SE 0,19 bei 28 Fragen mit R/W-Rate 0,43)";"-3,32 (SE 0,19 bei 27 Fragen mit R/W-Rate 0,44)";"";"";"";"";"";"-3,32 (SE 3,43 bei 2 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
