person;step;question;difficulty;discrimination;fraction;Sim;Sim/A;Sim/A/A01;Sim/A/A02;Sim/A/A03;Sim/A/A04;Sim/A/A05;Sim/A/A06;Sim/A/A07;Sim/B;Sim/B/B01;Sim/B/B02;Sim/B/B03;Sim/B/B04;Sim/C;Sim/C/C01;Sim/C/C02;Sim/C/C03;Sim/C/C04;Sim/C/C05;Sim/C/C06;Sim/C/C07;Sim/C/C08;Sim/C/C09;Sim/C/C10

Time:;2024-11-04 20-21-30;Mode:;strenCAT;Model:;2PL;Dataset:;V1
Parameter;pp_start:;0,02;se_start:;2,97;se_min:;0,25;se_max:;0,5;N_total:;250;N_max:;10;N_min:;5;pp_incmin:;0,1

P000000
P000000;1;B01-18;"0,05";"5,95";"0";"-0,67 (SE 1,47 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"-0,67 (SE 1,47 bei 1 Fragen mit R/W-Rate 0)";"-0,67 (SE 1,47 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;enact;Sim/B;TP+TI:;19,24131066956; >=4
P000000;enact;Sim/B/B01;TP+TI:;14,962830553207; >=4
P000000;2;A06-15;"-0,65";"5,56";"0";"-1,3 (SE 1,11 bei 2 Fragen mit R/W-Rate 0)";"-1,3 (SE 1,11 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"-1,3 (SE 1,11 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;enact;Sim/A;TP+TI:;45,77988269938; >=4
P000000;enact;Sim/A/A06;TP+TI:;25,271182814417; >=4
P000000;3;A02-02;"-1,28";"5,61";"0";"-1,86 (SE 0,93 bei 3 Fragen mit R/W-Rate 0)";"-1,86 (SE 0,93 bei 2 Fragen mit R/W-Rate 0)";"";"-1,86 (SE 0,93 bei 1 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;enact;Sim/A/A02;TP+TI:;24,396912097774; >=4
P000000;4;A02-19;"-1,80";"5,87";"0";"-2,33 (SE 0,82 bei 4 Fragen mit R/W-Rate 0)";"-2,33 (SE 0,82 bei 3 Fragen mit R/W-Rate 0)";"";"-2,33 (SE 0,82 bei 2 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
P000000;5;A06-02;"-1,10";"4,59";"0";"-2,34 (SE 0,82 bei 5 Fragen mit R/W-Rate 0)";"-2,34 (SE 0,82 bei 4 Fragen mit R/W-Rate 0)";"";"";"";"";"";"-1,78 (SE 1,05 bei 2 Fragen mit R/W-Rate 0)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
