componentid,componentname,contextid,status,qtype,model,difficulty,discrimination,guessing,label,catscalename,parentscalenames
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.87,0.33,0.00,SIMV2-A01-00,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.77,1.22,0.00,SIMV2-A01-01,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.53,1.77,0.00,SIMV2-A01-02,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.84,1.09,0.00,SIMV2-A01-03,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.44,1.92,0.00,SIMV2-A01-04,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.68,0.38,0.00,SIMV2-A01-05,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.25,1.26,0.00,SIMV2-A01-06,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.97,0.8,0.00,SIMV2-A01-07,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.58,1.82,0.00,SIMV2-A01-08,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.61,1.86,0.00,SIMV2-A01-09,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.97,0.57,0.00,SIMV2-A01-10,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.75,1.31,0.00,SIMV2-A01-11,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.63,1.17,0.00,SIMV2-A01-12,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.28,0.96,0.00,SIMV2-A01-13,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.17,0.7,0.00,SIMV2-A01-14,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.32,1.84,0.00,SIMV2-A01-15,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.72,0.87,0.00,SIMV2-A01-16,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.3,1.08,0.00,SIMV2-A01-17,SimA01,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.86,1.28,0.00,SIMV2-A02-00,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.78,1.98,0.00,SIMV2-A02-01,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.83,0.69,0.00,SIMV2-A02-02,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.19,1.12,0.00,SIMV2-A02-03,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-4.01,1.22,0.00,SIMV2-A02-04,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.69,0.91,0.00,SIMV2-A02-05,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.92,1.55,0.00,SIMV2-A02-06,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.91,1.7,0.00,SIMV2-A02-07,SimA02,SimV2|SimA
0,question,1,4,Multiple-Choice,raschbirnbaumb,-3.66,0.3,0.00,SIMV2-A02-08,SimA02,SimV2|SimA
